,CODIGO DA ENTIDADE,NUMERO DE PARTICIPANTES,CODESC,NOMEESC
0,35439642,10,35439642,DOM BOSCO SANTO ANDRE UNIDADE III COLEGIO
1,35125908,10,35125908,PAULO DE TARSO COLEGIO
2,35159359,10,35159359,ANDRADE INSTITUTO EDUCACIONAL
3,35134120,10,35134120,CALIFORNIA JUNIOR COLEGIO
4,35176597,10,35176597,ADVENTUS COLEGIO
5,35812912,10,35812912,CRIACAO COLEGIO
6,35133942,10,35133942,GUARULHOS COLEGIO INTEGRADO
7,35139622,10,35139622,RUI BARBOSA COLEGIO
8,35812031,10,35812031,VIVARE COLEGIO
9,35173666,10,35173666,POLIEDRO COLEGIO
10,35119611,10,35119611,HARMONIA COLEGIO
11,35119660,10,35119660,PRESTES MAIA INSTITUTO EDUCACIONAL
12,35133152,10,35133152,COSTA ZAVAGLI COLEGIO
13,35120509,10,35120509,EUCLYDES DA CUNHA COLEGIO
14,35122956,10,35122956,COOPERATIVISTA DE POA COLEGIO
15,35119210,10,35119210,MANOEL MARCONDES GALVAO UNIDADE II
16,35105824,10,35105824,JEAN PIAGET COLEGIO
17,35158823,10,35158823,FUTURO ESCOLA DO
18,35153692,10,35153692,ARCADIA COLEGIO
19,35440310,10,35440310,ALEXANDRE DUMAS COMPLEXO EDUCACIONAL
20,35801458,10,35801458,FUTURA COLEGIO
21,35103512,10,35103512,ASSUNCAO COLEGIO EIEFM
22,35004510,10,35004510,TEOTONIO ALVES PEREIRA
23,35101795,10,35101795,BRASIL COLEGIO
24,35142505,10,35142505,MARCO ZERO COLEGIO
25,35101990,10,35101990,NOSSA SENHORA DO SAGRADO CORACAO COLEGIO
26,35100161,10,35100161,CENTENARIO COLEGIO
27,35807825,10,35807825,SHANGRI LA COLEGIO
28,35157478,10,35157478,AUGUSTO SILVA COLEGIO
29,35155299,10,35155299,SANTA RITA COLEGIO
30,35141501,11,35141501,VISCONDE DE ITABORAI COLEGIO
31,35162826,11,35162826,CULTURA COLEGIO
32,35152195,11,35152195,ALMA MATER COLEGIO
33,35128120,11,35128120,GRAN LEONE COLEGIO
34,35151191,11,35151191,PASSO SEGURO COLEGIO
35,35133565,11,35133565,BRASIL JOVEM COLEGIO
36,35161913,11,35161913,CETS COLEGIO
37,35154854,11,35154854,GENESE COLEGIO
38,35142700,11,35142700,BRASILIENSE COLEGIO
39,35161317,11,35161317,ITAQUERA COLEGIO
40,35134569,11,35134569,ALIADO COLEGIO UNIDADE JOAO PAULO II
41,35136396,11,35136396,ANTOINE DE SAINT EXUPERY COLEGIO
42,35138988,11,35138988,SAO DOMINGOS SAVIO COLEGIO
43,35140200,11,35140200,MOSAICO COLEGIO
44,35150733,11,35150733,SANTA MARIA DE NAZARE COLEGIO UNIDADE I
45,35165967,11,35165967,CORACAO DE MARIA INSTITUTO EDUCACIONAL
46,35153187,11,35153187,ABC COLEGIO
47,35166406,11,35166406,SANTA ISABEL COLEGIO
48,35805567,11,35805567,SAINT GERMAIN COLEGIO
49,35369226,11,35369226,CASTANHEIRAS ESCOLA
50,35807503,11,35807503,ARTUR FERREIRA COLEGIO EF E PRE ESCOLA CONCHINHA
51,35803259,11,35803259,TALES DE MILETO COLEGIO
52,35299625,11,35299625,JULIO BOTELHO COLEGIO
53,35102350,11,35102350,SANTA INES COLEGIO
54,35218112,11,35218112,MANOEL JACOB CREMM COLEGIO MUNICIPAL
55,35105065,11,35105065,SAO PAULO COLEGIO METROPOLITANO
56,35105910,11,35105910,NOSSA SENHORA DO MORUMBI COLEGIO
57,35192223,11,35192223,REFLEXAO COLEGIO
58,35106367,11,35106367,INTERNACIONAL ITALO BRASILEIRO COLEGIO
59,35106999,11,35106999,SAO BENTO COLEGIO
60,35192211,11,35192211,24 DE MAIO COLEGIO
61,35179887,11,35179887,ALLAN KARDEC EDUCANDARIO
62,35179383,11,35179383,SENTIDO OBRIGATORIO COLEGIO
63,35152511,11,35152511,SALMISTA COLEGIO
64,35119684,11,35119684,AURORA ESCOLA
65,35118679,11,35118679,SAO FRANCISCO DE PAULA COLEGIO
66,35174178,11,35174178,RICARO COLEGIO UNIDADE II
67,35118758,11,35118758,DOMINANTE COLEGIO
68,35171487,11,35171487,NOVO ESPACO COLEGIO
69,35170636,11,35170636,4 DE JULHO COLEGIO
70,35124400,12,35124400,DOM BOSCO LIMAO COLEGIO
71,35131738,12,35131738,JOAO PAULO I COLEGIO
72,35150289,12,35150289,ITAQUA COLEGIO
73,35063332,12,35063332,LICEU JOSE DE ALENCAR
74,35150253,12,35150253,RENASCER COLEGIO
75,35103330,12,35103330,CASA PIA SAO VICENTE DE PAULO EXTERNATO
76,35108054,12,35108054,MAIRIPORA INSTITUTO ENSINO FUNDAMENTAL E MEDIO
77,35103408,12,35103408,JOSE BONIFACIO EXTERNATO
78,35800971,12,35800971,PUERI PAX COLEGIO
79,35108112,12,35108112,AUGUSTO RUSCHI COLEGIO
80,35124515,12,35124515,PRESBITERIANO INDEPENDENTE INSTITUTO DE ENSINO
81,35136918,12,35136918,JARDIM ANALIA FRANCO COLEGIO
82,35136566,12,35136566,MATER ET MAGISTRA CENTRO EDUCACIONAL VIVENCIAL
83,35150162,12,35150162,SAO JOAO BATISTA COLEGIO
84,35121952,12,35121952,CASTRO ALVES CENTRO EDUCACIONAL
85,35806304,12,35806304,PRINCIPIO DAS ARTES COLEGIO
86,35167459,12,35167459,VIP COLEGIO UNIDADE IMIRIM
87,35165359,12,35165359,DAVINA GASPARINI COLEGIO
88,35158550,12,35158550,AGNUS COLEGIO
89,35185760,12,35185760,SOUZA GOUVEIA COLEGIO
90,35191711,12,35191711,EVANGELICO ORACULO COLEGIO
91,35164732,12,35164732,LUZ COLEGIO EVANGELICO
92,35256869,12,35256869,PAPA MIKE COLEGIO UNIDADE I
93,35154684,12,35154684,TEMA COLEGIO
94,35001797,12,35001797,BRISABELLA ALMEIDA NOBRE PROFESSORA
95,35169882,12,35169882,COOPERATIVA EDUC E CULT DE S BERNARDO DO CAMPO
96,35299984,12,35299984,SOTER COLEGIO
97,35159244,12,35159244,UNIVERSAL STAR COLEGIO
98,35304049,12,35304049,AUTENTICO COLEGIO
99,35158549,12,35158549,ORION EDUCACIONAL
100,35370836,12,35370836,SAMARAH INSTITUTO EDUCACIONAL
101,35161949,13,35161949,SAO GONCALO INSTITUTO DE EDUCACAO
102,35159177,13,35159177,SIDARTA COLEGIO
103,35130916,13,35130916,BRASILIA DE DIADEMA COLEGIO
104,35138265,13,35138265,SAO PAULO EXTERNATO
105,35810228,13,35810228,NACOES INSTITUTO EDUCACIONAL
106,35133723,13,35133723,ELEVACAO COLEGIO TECNICO
107,35132044,13,35132044,MOGIANO ACADEMICO COLEGIO
108,35108509,13,35108509,JULIO VERNE CENTRO DE ESTUDOS
109,35007648,13,35007648,MARILENE DE OLIVEIRA ACETTO PROFESSORA
110,35174087,13,35174087,CARITAS ESCOLA
111,35198959,13,35198959,OCTAGON COLEGIO
112,35800089,13,35800089,NOSSA SENHORA DAS GRACAS INSTITUTO EDUCACIONAL COLEGIO
113,35287600,13,35287600,ANGLO - LEONARDO DA VINCI COLEGIO
114,35296016,13,35296016,ALFA OMEGA COLEGIO
115,35102027,13,35102027,ANTARES COLEGIO
116,35101667,13,35101667,PARQUE SEVILHA COLEGIO
117,35101096,13,35101096,LUIZ TEZZA PADRE COLEGIO
118,35100298,13,35100298,ORLANDO GARCIA DA SILVEIRA COLEGIO
119,35325983,13,35325983,TALES DE MILETO COLEGIO
120,35121551,13,35121551,NOGUEIRA E SONHO DE CRIANCA COLEGIO
121,35159165,13,35159165,ESPACO VERDE ROUSSEAU COLEGIO
122,35139051,13,35139051,PROGRESSO COLEGIO EDUCACIONAL
123,35151725,13,35151725,CAVLAC COLEGIO
124,35004625,13,35004625,MARIA RIBEIRO GUIMARAES BUENO PROFESSORA
125,35151907,13,35151907,AMERICO FRANCO INSTITUTO EDUCACIONAL
126,35105302,14,35105302,JOANA D ARC COLEGIO
127,35809287,14,35809287,RANIERI COLEGIO
128,35107165,14,35107165,PIONEIRO CENTRO EDUCACIONAL
129,35107189,14,35107189,BILAC COLEGIO
130,35131623,14,35131623,JEAN PIAGET COLEGIO
131,35142281,14,35142281,PUERI DOMUS ESCOLA EXPERIMENTAL
132,35153285,14,35153285,COMUNIDADE COLEGIO DA
133,35165335,14,35165335,LECTUS COLEGIO
134,35117912,14,35117912,HELIO DE SOUZA COLEGIO
